item_idx,item_rating_count,item_mean_rating,item_bias
117,7,3.857143,-0.4363141
118,30,4.6666665,0.37320948
119,9,3.5555556,-0.73790145
120,15,4.6,0.30654287
121,13,4.8461537,0.5526967
122,8,4.125,-0.16845703
123,9,3.2222223,-1.0712347
124,8,4.625,0.33154297
125,18,3.4444444,-0.8490126
126,5,3.6,-0.6934571
127,5,3.6,-0.6934571
128,10,4.9,0.60654306
129,56,4.696429,0.40297174
130,8,4.5,0.20654297
131,3,4.6666665,0.37320948
132,12,4.5,0.20654297
133,5,4.8,0.50654316
134,8,4.625,0.33154297
135,5,3.8,-0.49345708
136,6,4.5,0.20654297
137,10,4.5,0.20654297
138,6,3.0,-1.293457
139,4,4.0,-0.29345703
140,5,4.2,-0.09345722
141,9,3.7777777,-0.51567936
142,27,3.5185184,-0.7749386
143,6,4.3333335,0.03987646
144,7,3.5714285,-0.7220285
145,5,4.8,0.50654316
146,27,4.0740743,-0.21938276
147,4,5.0,0.70654297
148,9,3.8888888,-0.4045682
149,8,4.0,-0.29345703
150,9,3.2222223,-1.0712347
151,4,4.0,-0.29345703
152,7,3.857143,-0.4363141
153,13,4.8461537,0.5526967
154,25,3.76,-0.53345704
155,41,3.902439,-0.3910179
156,46,4.173913,-0.11954403
157,9,4.2222223,-0.0712347
158,32,4.125,-0.16845703
159,8,2.25,-2.043457
160,18,4.2222223,-0.0712347
161,76,4.7763157,0.48285866
162,60,4.4,0.106543064
163,9,4.4444447,0.15098763
164,14,3.5714285,-0.7220285
165,6,2.8333333,-1.4601238
166,9,3.3333333,-0.9601238
167,8,4.875,0.58154297
168,6,4.6666665,0.37320948
169,6,3.8333333,-0.46012378
170,9,4.6666665,0.37320948
171,10,3.7,-0.593457
172,12,3.5,-0.79345703
173,5,5.0,0.70654297
174,5,4.6,0.30654287
175,5,4.0,-0.29345703
176,6,3.8333333,-0.46012378
177,7,2.857143,-1.4363141
178,6,3.8333333,-0.46012378
179,65,4.476923,0.18346596
180,9,4.7777777,0.48432064
181,7,4.0,-0.29345703
182,23,3.5652175,-0.72823954
183,13,3.9230769,-0.37038016
184,13,3.9230769,-0.37038016
185,303,4.6534653,0.36000824
186,6,4.8333335,0.53987646
187,49,4.6938777,0.40042067
188,24,4.7916665,0.49820948
189,21,4.714286,0.42082882
190,271,3.98893,-0.30452704
191,29,3.4827585,-0.8106985
192,4,4.25,-0.04345703
193,4,4.0,-0.29345703
194,6,4.0,-0.29345703
195,14,4.571429,0.27797174
196,7,3.7142856,-0.5791714
197,7,4.285714,-0.007742882
198,5,3.6,-0.6934571
199,5,4.8,0.50654316
200,97,4.2989693,0.0055122375
201,10,2.8,-1.4934571
202,6,2.6666667,-1.6267903
203,3,4.6666665,0.37320948
204,5,5.0,0.70654297
205,6,4.6666665,0.37320948
206,7,3.142857,-1.1506
207,11,4.090909,-0.20254803
208,87,3.402299,-0.8911581
209,17,4.470588,0.17713118
210,6,4.0,-0.29345703
211,7,3.2857144,-1.0077426
212,207,3.9371982,-0.35625887
213,308,4.142857,-0.15059996
214,681,4.455213,0.16175604
215,4,3.75,-0.54345703
216,101,4.4653463,0.1718893
217,18,3.7222223,-0.5712347
218,5,5.0,0.70654297
219,19,4.5789475,0.2854905
220,5,4.6,0.30654287
221,13,4.6153846,0.32192755
222,6,4.0,-0.29345703
223,7,2.4285715,-1.8648856
224,8,4.375,0.08154297
225,4,3.5,-0.79345703
226,20,4.2,-0.09345722
227,19,3.5263157,-0.76714134
228,9,3.7777777,-0.51567936
229,66,4.2272725,-0.06618452
230,90,4.1555557,-0.1379013
231,21,4.571429,0.27797174
232,614,4.6042347,0.31077766
233,2,5.0,0.70654297
234,4,4.75,0.45654297
235,9,4.2222223,-0.0712347
236,18,4.6666665,0.37320948
237,4,4.75,0.45654297
238,9,4.111111,-0.18234587
239,4,4.0,-0.29345703
240,5,5.0,0.70654297
241,5,5.0,0.70654297
242,9,4.6666665,0.37320948
243,5,4.2,-0.09345722
244,10,4.6,0.30654287
245,19,3.7368422,-0.5566149
246,7,4.857143,0.5636859
247,6,4.6666665,0.37320948
248,14,4.285714,-0.007742882
249,9,3.5555556,-0.73790145
250,10,4.3,0.0065431595
251,27,3.8888888,-0.4045682
252,15,3.9333334,-0.36012363
253,3,3.6666667,-0.6267903
254,18,3.9444444,-0.3490126
255,108,4.25,-0.04345703
256,63,3.1904762,-1.1029809
257,5,3.2,-1.093457
258,43,4.9302325,0.6367755
259,321,4.725857,0.43239975
260,445,4.6674156,0.3739586
261,28,4.357143,0.063685894
262,4,4.5,0.20654297
263,5,4.8,0.50654316
264,13,3.0769231,-1.2165339
265,39,4.4615383,0.16808128
266,12,4.6666665,0.37320948
267,5,3.2,-1.093457
268,27,4.111111,-0.18234587
269,7,3.7142856,-0.5791714
270,9,3.6666667,-0.6267903
271,82,4.390244,0.096786976
272,55,4.5272727,0.23381567
273,27,4.185185,-0.108272076
274,25,4.48,0.18654299
275,7,3.0,-1.293457
276,5,5.0,0.70654297
277,6,5.0,0.70654297
278,14,4.142857,-0.15059996
279,11,4.4545455,0.16108847
280,9,4.111111,-0.18234587
281,10,3.6,-0.6934571
282,23,4.2608695,-0.03258753
283,11,4.6363635,0.34290648
284,11,4.090909,-0.20254803
285,8,4.125,-0.16845703
286,106,4.3490567,0.05559969
287,42,4.547619,0.25416183
288,59,4.0677967,-0.22566032
289,6,5.0,0.70654297
290,4,5.0,0.70654297
291,12,4.0,-0.29345703
292,9,4.4444447,0.15098763
293,13,4.3846154,0.09115839
294,16,4.625,0.33154297
295,16,4.25,-0.04345703
296,6,4.0,-0.29345703
297,4,3.75,-0.54345703
298,61,4.639344,0.34588718
299,7,4.714286,0.42082882
300,8,4.75,0.45654297
301,9,4.3333335,0.03987646
302,8,3.875,-0.41845703
303,42,4.1666665,-0.12679052
304,8,4.25,-0.04345703
305,5,2.8,-1.4934571
306,11,4.4545455,0.16108847
307,8,2.75,-1.543457
308,11,4.818182,0.52472496
309,6,3.3333333,-0.9601238
310,5,4.4,0.106543064
311,4,2.0,-2.293457
312,7,3.857143,-0.4363141
313,9,4.4444447,0.15098763
314,4,3.75,-0.54345703
315,7,4.857143,0.5636859
316,12,4.25,-0.04345703
317,25,4.68,0.3865428
318,17,4.5882354,0.29477835
319,12,4.75,0.45654297
320,8,3.5,-0.79345703
321,15,4.266667,-0.026790142
322,17,4.470588,0.17713118
323,5,4.2,-0.09345722
324,12,3.6666667,-0.6267903
325,4,4.0,-0.29345703
326,5,4.2,-0.09345722
327,10,4.6,0.30654287
328,9,3.5555556,-0.73790145
329,27,4.259259,-0.034197807
330,4,2.0,-2.293457
331,425,3.9835293,-0.3099277
332,7,3.857143,-0.4363141
333,6,5.0,0.70654297
334,128,4.0078125,-0.28564453
335,232,4.1465516,-0.14690542
336,6,4.6666665,0.37320948
337,7,3.857143,-0.4363141
338,9,4.4444447,0.15098763
339,8,4.875,0.58154297
340,8,4.875,0.58154297
341,6,2.8333333,-1.4601238
342,11,4.181818,-0.11163902
343,8,4.625,0.33154297
344,9,4.5555553,0.2620983
345,5,4.4,0.106543064
346,8,4.5,0.20654297
347,15,3.2,-1.093457
348,9,2.2222223,-2.0712347
349,5,3.8,-0.49345708
350,15,4.0,-0.29345703
351,106,4.8301888,0.5367317
352,5,4.8,0.50654316
353,11,4.2727275,-0.020729542
354,5,4.2,-0.09345722
355,49,4.4693875,0.1759305
356,5,3.6,-0.6934571
357,3,4.0,-0.29345703
358,94,4.0531917,-0.24026537
359,4,3.5,-0.79345703
360,59,4.338983,0.045526028
361,775,4.3845162,0.09105921
362,3,3.6666667,-0.6267903
363,7,4.714286,0.42082882
364,7,4.571429,0.27797174
365,4,4.75,0.45654297
366,18,4.611111,0.31765413
367,21,4.3809524,0.08749533
368,13,5.0,0.70654297
369,5,2.6,-1.6934571
370,5,4.6,0.30654287
371,7,3.7142856,-0.5791714
372,5,4.2,-0.09345722
373,7,4.714286,0.42082882
374,6,3.8333333,-0.46012378
375,20,3.9,-0.39345694
376,16,3.6875,-0.60595703
377,147,4.2312927,-0.062164307
378,218,4.3073397,0.013882637
379,6,4.0,-0.29345703
380,6,4.1666665,-0.12679052
381,20,4.85,0.5565429
382,9,4.2222223,-0.0712347
383,8,4.625,0.33154297
384,14,4.642857,0.34940004
385,14,4.785714,0.49225712
386,84,4.1190476,-0.17440939
387,14,4.0,-0.29345703
388,33,4.4545455,0.16108847
389,6,4.5,0.20654297
390,9,4.5555553,0.2620983
391,11,4.818182,0.52472496
392,16,4.9375,0.64404297
393,4,5.0,0.70654297
394,59,4.1864405,-0.10701656
395,5,4.8,0.50654316
396,43,4.581395,0.28793812
397,27,4.5555553,0.2620983
398,6,4.1666665,-0.12679052
399,92,3.7065217,-0.5869353
400,37,4.4054055,0.11194849
401,11,4.5454545,0.25199747
402,40,4.575,0.28154278
403,48,4.5625,0.26904297
404,26,4.576923,0.28346586
405,16,4.4375,0.14404297
406,22,4.7727275,0.47927046
407,17,4.647059,0.35360193
408,5,4.2,-0.09345722
409,7,4.714286,0.42082882
410,5,4.6,0.30654287
411,21,4.571429,0.27797174
412,7,4.428571,0.1351142
413,65,4.5384617,0.24500465
414,4,4.5,0.20654297
415,5,3.4,-0.89345694
416,6,3.6666667,-0.6267903
417,8,4.375,0.08154297
418,7,4.571429,0.27797174
419,10,3.7,-0.593457
420,4,4.0,-0.29345703
421,12,4.6666665,0.37320948
422,5,4.4,0.106543064
423,6,5.0,0.70654297
424,8,4.875,0.58154297
425,7,3.4285715,-0.86488557
426,15,3.4,-0.89345694
427,5,4.6,0.30654287
428,11,4.818182,0.52472496
429,21,4.904762,0.61130476
430,19,3.9473684,-0.34608865
431,9,4.4444447,0.15098763
432,6,4.3333335,0.03987646
433,118,4.2966104,0.0031533241
434,7,4.571429,0.27797174
435,20,4.55,0.25654316
436,5,4.2,-0.09345722
437,6,4.5,0.20654297
438,21,4.5238094,0.2303524
439,4,5.0,0.70654297
440,7,4.142857,-0.15059996
441,11,3.090909,-1.202548
442,76,3.6710527,-0.62240434
443,7,4.714286,0.42082882
444,109,3.8899083,-0.40354872
445,9,4.4444447,0.15098763
446,190,4.568421,0.27496386
447,19,4.0526314,-0.24082565
448,7,4.714286,0.42082882
449,5,4.6,0.30654287
450,10,4.7,0.40654278
451,8,4.375,0.08154297
452,141,4.5248227,0.23136568
453,4,4.0,-0.29345703
454,6,4.5,0.20654297
455,13,4.230769,-0.062687874
456,20,4.65,0.35654306
457,5,4.6,0.30654287
458,58,4.586207,0.29274988
459,3,4.6666665,0.37320948
460,46,4.347826,0.054368973
461,16,3.6875,-0.60595703
462,84,4.702381,0.4089241
463,24,4.8333335,0.53987646
464,251,4.422311,0.1288538
465,23,4.826087,0.53262997
466,24,4.0833335,-0.21012354
467,404,4.6732674,0.37981033
468,3,5.0,0.70654297
469,6,3.8333333,-0.46012378
470,11,4.5454545,0.25199747
471,10,4.3,0.0065431595
472,6,2.3333333,-1.9601238
473,5,3.0,-1.293457
474,11,2.3636363,-1.9298208
475,186,4.354839,0.061381817
476,166,4.361446,0.06798887
477,63,4.428571,0.1351142
478,7,4.857143,0.5636859
479,14,4.571429,0.27797174
480,7,4.428571,0.1351142
481,14,4.642857,0.34940004
482,4,4.5,0.20654297
483,37,3.945946,-0.34751105
484,13,4.8461537,0.5526967
485,20,4.0,-0.29345703
486,36,4.7777777,0.48432064
487,23,4.4347825,0.14132547
488,19,4.0,-0.29345703
489,153,4.8235292,0.5300722
490,13,4.3076925,0.0142354965
491,21,4.3809524,0.08749533
492,7,2.4285715,-1.8648856
493,7,3.142857,-1.1506
494,7,3.4285715,-0.86488557
495,6,3.5,-0.79345703
496,6,4.1666665,-0.12679052
497,6,3.8333333,-0.46012378
498,21,4.571429,0.27797174
499,6,4.1666665,-0.12679052
500,12,4.9166665,0.6232095
501,15,4.5333333,0.23987627
502,8,4.25,-0.04345703
503,12,4.5,0.20654297
504,17,4.647059,0.35360193
505,11,4.0,-0.29345703
506,8,4.125,-0.16845703
507,4,3.75,-0.54345703
508,27,4.3333335,0.03987646
509,29,4.551724,0.25826693
510,5,4.2,-0.09345722
511,9,4.111111,-0.18234587
512,5,3.6,-0.6934571
513,15,3.4,-0.89345694
514,8,3.375,-0.91845703
515,8,3.875,-0.41845703
516,10,4.9,0.60654306
517,7,3.7142856,-0.5791714
518,4,3.5,-0.79345703
519,16,4.9375,0.64404297
520,11,4.6363635,0.34290648
521,8,3.875,-0.41845703
522,23,4.4347825,0.14132547
523,5,3.8,-0.49345708
524,9,4.4444447,0.15098763
525,10,4.4,0.106543064
526,5,5.0,0.70654297
527,7,4.142857,-0.15059996
528,6,3.8333333,-0.46012378
529,9,4.888889,0.5954318
530,32,4.59375,0.30029297
531,12,4.3333335,0.03987646
532,55,4.6181817,0.32472467
533,41,3.9756098,-0.31784725
534,50,3.94,-0.35345697
535,5,4.2,-0.09345722
536,116,4.37069,0.07723284
537,5,4.6,0.30654287
538,12,4.4166665,0.12320948
539,10,4.1,-0.19345713
540,7,4.285714,-0.007742882
541,27,4.185185,-0.108272076
542,317,4.542587,0.24912977
543,74,4.608108,0.314651
544,82,4.768293,0.47483587
545,33,4.757576,0.46411896
546,18,4.0555553,-0.23790169
547,37,4.891892,0.5984349
548,19,4.5263157,0.23285866
549,9,4.4444447,0.15098763
550,23,4.521739,0.22828197
551,6,4.3333335,0.03987646
552,40,4.825,0.5315428
553,35,4.6571426,0.3636856
554,7,3.857143,-0.4363141
555,13,2.9230769,-1.3703802
556,87,4.402299,0.108841896
557,461,4.7006507,0.40719366
558,33,4.787879,0.49442196
559,7,3.857143,-0.4363141
560,9,4.888889,0.5954318
561,42,4.714286,0.42082882
562,166,4.6144576,0.32100058
563,38,4.6842103,0.39075327
564,16,4.9375,0.64404297
565,18,3.8888888,-0.4045682
566,54,4.4259257,0.1324687
567,31,4.290323,-0.0031342506
568,13,4.8461537,0.5526967
569,5,2.4,-1.8934569
570,165,4.6666665,0.37320948
571,23,4.173913,-0.11954403
572,10,4.3,0.0065431595
573,6,4.0,-0.29345703
574,12,3.5833333,-0.7101238
575,6,4.6666665,0.37320948
576,16,4.375,0.08154297
577,21,4.7619047,0.4684477
578,7,3.857143,-0.4363141
579,15,3.1333334,-1.1601236
580,34,4.147059,-0.14639807
581,128,4.2890625,-0.0043945312
582,7,4.428571,0.1351142
583,11,4.4545455,0.16108847
584,8,4.75,0.45654297
585,16,4.25,-0.04345703
586,47,4.489362,0.19590473
587,8,4.75,0.45654297
588,9,4.2222223,-0.0712347
589,7,4.428571,0.1351142
590,62,4.274194,-0.019263268
591,11,3.4545455,-0.83891153
592,4,4.0,-0.29345703
593,12,4.25,-0.04345703
594,5,3.0,-1.293457
595,3,5.0,0.70654297
596,77,4.5454545,0.25199747
597,33,4.4848485,0.19139147
598,5,4.0,-0.29345703
599,5,4.2,-0.09345722
600,6,5.0,0.70654297
601,9,4.111111,-0.18234587
602,8,4.875,0.58154297
603,224,4.508929,0.21547174
604,30,3.9666667,-0.32679033
605,75,4.36,0.0665431
606,24,4.5833335,0.28987646
607,915,4.4972677,0.20381069
608,7,4.428571,0.1351142
609,8,4.0,-0.29345703
610,3129,4.4621286,0.16867161
611,2833,4.447229,0.15377188
612,149,4.2214766,-0.07198048
613,22,4.318182,0.02472496
614,10,4.3,0.0065431595
615,4,4.5,0.20654297
616,5,4.6,0.30654287
617,5,3.8,-0.49345708
618,6,4.1666665,-0.12679052
619,19,4.4210525,0.12759542
620,12,3.5,-0.79345703
621,7,4.0,-0.29345703
622,5,4.6,0.30654287
623,9,4.2222223,-0.0712347
624,5,4.6,0.30654287
625,6,4.6666665,0.37320948
626,13,3.9230769,-0.37038016
627,18,4.6666665,0.37320948
628,21,4.428571,0.1351142
629,5,5.0,0.70654297
630,9,4.888889,0.5954318
631,16,4.5,0.20654297
632,12,3.75,-0.54345703
633,6,3.8333333,-0.46012378
634,8,4.875,0.58154297
635,6,3.6666667,-0.6267903
636,19,3.1578948,-1.1355622
637,11,4.0,-0.29345703
638,15,4.0666666,-0.22679043
639,6,3.1666667,-1.1267903
640,6,3.5,-0.79345703
641,6,3.8333333,-0.46012378
642,4,4.25,-0.04345703
643,4,4.75,0.45654297
644,25,4.8,0.50654316
645,5,4.4,0.106543064
646,23,3.826087,-0.46737003
647,32,4.125,-0.16845703
648,99,4.3131313,0.019674301
649,6,3.6666667,-0.6267903
650,13,4.6923075,0.39885044
651,94,4.489362,0.19590473
652,78,4.8333335,0.53987646
653,558,4.693548,0.40009117
654,4,4.75,0.45654297
655,31,3.8709676,-0.4224894
656,13,4.6153846,0.32192755
657,99,4.353535,0.060078144
658,5,4.6,0.30654287
659,14,3.7857144,-0.50774264
660,12,4.0833335,-0.21012354
661,374,4.7593584,0.46590137
662,26,4.4615383,0.16808128
663,31,4.2580647,-0.035392284
664,5,4.4,0.106543064
665,54,4.6666665,0.37320948
666,40,4.65,0.35654306
667,16,4.4375,0.14404297
668,10,4.9,0.60654306
669,156,4.6474357,0.35397863
670,89,4.8089886,0.51553154
671,27,4.740741,0.44728374
672,9,4.4444447,0.15098763
673,64,4.859375,0.56591797
674,37,4.243243,-0.050213814
675,63,4.5555553,0.2620983
676,52,4.6923075,0.39885044
677,57,4.508772,0.21531487
678,5,5.0,0.70654297
679,11,3.0,-1.293457
680,5,4.6,0.30654287
681,11,4.090909,-0.20254803
682,10,4.4,0.106543064
683,5,5.0,0.70654297
684,12,4.5,0.20654297
685,16,4.75,0.45654297
686,5,3.4,-0.89345694
687,4,5.0,0.70654297
688,7,4.571429,0.27797174
689,3,3.0,-1.293457
690,5,4.6,0.30654287
691,8,4.125,-0.16845703
692,59,4.5423727,0.24891567
693,158,3.8670886,-0.42636847
694,6,4.6666665,0.37320948
695,28,4.392857,0.09940004
696,12,4.25,-0.04345703
697,14,3.9285715,-0.36488557
698,5,3.4,-0.89345694
699,9,4.7777777,0.48432064
700,65,4.4923077,0.19885063
701,5,3.8,-0.49345708
702,9,4.4444447,0.15098763
703,5,4.0,-0.29345703
704,36,4.8055553,0.5120983
705,62,4.806452,0.51299477
706,14,4.0,-0.29345703
707,59,4.5423727,0.24891567
708,28,4.392857,0.09940004
709,12,4.3333335,0.03987646
710,4,4.5,0.20654297
711,8,4.875,0.58154297
712,148,4.1621623,-0.13129473
713,11,4.7272725,0.43381548
714,49,4.265306,-0.028151035
715,9,4.3333335,0.03987646
716,32,3.78125,-0.51220703
717,6,2.8333333,-1.4601238
718,20,3.45,-0.843457
719,4,5.0,0.70654297
720,5,3.8,-0.49345708
721,13,4.6923075,0.39885044
722,16,2.875,-1.418457
723,8,3.125,-1.168457
724,17,4.352941,0.059484005
725,7,4.428571,0.1351142
726,156,4.3076925,0.0142354965
727,7,3.7142856,-0.5791714
728,3,4.3333335,0.03987646
729,5,4.2,-0.09345722
730,6,4.8333335,0.53987646
731,17,4.647059,0.35360193
732,11,4.2727275,-0.020729542
733,7,3.5714285,-0.7220285
734,42,4.785714,0.49225712
735,125,4.928,0.63454294
736,6,4.8333335,0.53987646
737,199,4.829146,0.5356889
738,220,4.5363636,0.24290657
739,3,3.0,-1.293457
740,9,3.7777777,-0.51567936
741,7,5.0,0.70654297
742,16,4.4375,0.14404297
743,39,4.3846154,0.09115839
744,8,4.375,0.08154297
745,8,3.625,-0.66845703
746,5,3.0,-1.293457
747,12,3.9166667,-0.3767903
748,6,4.1666665,-0.12679052
749,22,3.7272727,-0.5661843
750,51,4.3137255,0.02026844
751,37,3.6486487,-0.6448083
752,6,2.3333333,-1.9601238
753,25,4.56,0.2665429
754,7,4.142857,-0.15059996
755,74,4.0405407,-0.25291634
756,20,4.1,-0.19345713
757,30,3.6333334,-0.6601236
758,6,4.5,0.20654297
759,3,2.6666667,-1.6267903
760,4,3.0,-1.293457
761,5,2.6,-1.6934571
762,6,4.3333335,0.03987646
763,19,4.6842103,0.39075327
764,6,2.8333333,-1.4601238
765,7,4.857143,0.5636859
766,8,4.375,0.08154297
767,5,4.2,-0.09345722
768,182,4.2197804,-0.073676586
769,6,4.3333335,0.03987646
770,36,4.5555553,0.2620983
771,5,4.8,0.50654316
772,6,4.0,-0.29345703
773,42,3.7380953,-0.55536175
774,26,4.0,-0.29345703
775,7,4.0,-0.29345703
776,57,4.0701756,-0.22328138
777,4,4.75,0.45654297
778,54,4.703704,0.41024685
779,6,5.0,0.70654297
780,44,4.3636365,0.07017946
781,31,4.903226,0.60976887
782,4,3.0,-1.293457
783,7,4.571429,0.27797174
784,9,4.111111,-0.18234587
785,20,3.65,-0.64345694
786,5,5.0,0.70654297
787,174,3.7356322,-0.55782485
788,39,3.7179487,-0.57550836
789,6,4.0,-0.29345703
790,22,4.3636365,0.07017946
791,445,4.5707865,0.27732944
792,8,4.75,0.45654297
793,25,4.28,-0.013456821
794,354,4.40678,0.113322735
795,312,4.423077,0.12962008
796,5,4.2,-0.09345722
797,7,4.428571,0.1351142
798,15,4.733333,0.43987608
799,10,4.8,0.50654316
800,10,4.9,0.60654306
801,12,2.75,-1.543457
802,83,3.879518,-0.413939
803,12,2.5833333,-1.7101238
804,84,4.285714,-0.007742882
805,53,4.075472,-0.21798515
806,6,2.5,-1.793457
807,9,4.4444447,0.15098763
808,5,5.0,0.70654297
809,5,4.8,0.50654316
810,8,3.75,-0.54345703
811,20,3.1,-1.1934571
812,8,4.375,0.08154297
813,5,3.0,-1.293457
814,13,4.3846154,0.09115839
815,14,4.357143,0.063685894
816,7,3.5714285,-0.7220285
817,26,4.3076925,0.0142354965
818,8,4.0,-0.29345703
819,37,4.2972975,0.0038404465
820,8,4.75,0.45654297
821,5,2.4,-1.8934569
822,7,3.7142856,-0.5791714
823,7,4.142857,-0.15059996
824,9,4.111111,-0.18234587
825,16,3.1875,-1.105957
826,29,4.1034484,-0.19000864
827,15,4.266667,-0.026790142
828,5,3.8,-0.49345708
829,5,3.6,-0.6934571
830,3,4.3333335,0.03987646
831,5,3.4,-0.89345694
832,10,4.9,0.60654306
833,6,4.1666665,-0.12679052
834,10,4.2,-0.09345722
835,6,2.8333333,-1.4601238
836,6,3.6666667,-0.6267903
837,4,4.0,-0.29345703
838,38,3.9736843,-0.31977272
839,5,3.6,-0.6934571
840,8,4.5,0.20654297
841,6,4.8333335,0.53987646
842,12,4.75,0.45654297
843,5,4.2,-0.09345722
844,6,2.3333333,-1.9601238
845,20,4.35,0.056542873
846,32,4.71875,0.42529297
847,6,4.3333335,0.03987646
848,5,3.0,-1.293457
849,237,4.708861,0.41540384
850,7,5.0,0.70654297
851,6,4.6666665,0.37320948
852,12,4.5,0.20654297
853,6,4.5,0.20654297
854,23,3.1304348,-1.1630223
855,5,2.8,-1.4934571
856,5,2.8,-1.4934571
857,11,3.4545455,-0.83891153
858,8,4.375,0.08154297
859,8,4.375,0.08154297
860,8,4.625,0.33154297
861,29,4.551724,0.25826693
862,5,5.0,0.70654297
863,12,4.6666665,0.37320948
864,17,4.2941175,0.00066041946
865,4,5.0,0.70654297
866,37,4.5945945,0.30113745
867,25,4.24,-0.05345726
868,40,4.525,0.23154306
869,10,4.4,0.106543064
870,36,4.0555553,-0.23790169
871,48,4.7083335,0.41487646
872,27,4.851852,0.5583949
873,35,4.714286,0.42082882
874,11,4.7272725,0.43381548
875,12,4.1666665,-0.12679052
876,15,4.9333334,0.63987637
877,47,4.7659574,0.47250032
878,602,4.7524915,0.45903444
879,34,4.352941,0.059484005
880,6,4.8333335,0.53987646
881,6,3.5,-0.79345703
882,98,4.571429,0.27797174
883,8,4.0,-0.29345703
884,17,4.529412,0.23595476
885,19,4.263158,-0.030299187
886,30,4.766667,0.47320986
887,78,4.6538463,0.36038923
888,10,4.9,0.60654306
889,19,4.736842,0.44338512
890,44,4.3636365,0.07017946
891,20,4.65,0.35654306
892,24,4.5833335,0.28987646
893,5,3.8,-0.49345708
894,73,4.0684934,-0.22496367
895,6,3.5,-0.79345703
896,5,4.4,0.106543064
897,5,3.6,-0.6934571
898,5,4.8,0.50654316
899,12,3.5833333,-0.7101238
900,12,4.3333335,0.03987646
901,6,3.3333333,-0.9601238
902,6,4.1666665,-0.12679052
903,8,3.75,-0.54345703
904,5,4.4,0.106543064
